"","X","ID","duration","gender","age","ager","plz","state","urban","edu","res","s5_5t","att_organic","att_glypho","att_pest","att_smallfarm","att_tech","att_fert","awareness","knowledge","imp_aesth","imp_food","imp_water","imp_recr","imp_flood","imp_drought","imp_climate","imp_soc_climate","imp_soc_food","imp_soc_water","imp_soc_flood","imp_soc_drought","imp_per_climate","imp_per_food","imp_per_water","imp_per_flood","imp_per_drought","exp_flood","exp_drought","resp_pol","resp_con","resp_ret","resp_prod","motive_1","motive_2","motive_3","motive_4","motive_5","motive_6","motive_7","motive_8","motive_9","motive_10","motive_11","motive_12","motive_13","motive_14","motive_15","motive_16","motive_17","motive_18","INS","ICS","member","donation","farmer","livestock","no_ag","empl","income","marital","hh_size","childr","sd7","sys_RespNum","sys_ElapsedTime","q1","q2","q3","q4","q5","q6","q7","q8","q9","BLOCK","sys_pagetime_Random1","sys_pagetime_Random2","sys_pagetime_Random3","sys_pagetime_Random4","sys_pagetime_Fixed1","sys_pagetime_Random5","sys_pagetime_Random6","sys_pagetime_Random7","sys_pagetime_Random8"
"785",785,785,467,0,18,2,"70567","bw",1,"fachabitur","own_house"," ",5,4,4,3,4,3,3,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,0,3,3,4,3,2,1,2,1,3,4,1,3,4,4,1,2,2,4,1,3,2,3,3,3,4,1,0,0,0,1,"unemployed","5000_above","single",4,2,NA,1262,124,2,1,2,2,1,1,1,2,1,2,30,14,9,16,8,7,9,6,6
"786",786,786,1131,0,47,4,"41334","nw",1,"university","own_house"," ",3,5,3,3,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,3,3,4,3,3,2,3,3,5,3,3,5,5,3,3,3,3,3,7,6,0,1,0,0,1,"fulltime","2500_3500","married",3,1,NA,1400,243,2,2,1,2,1,1,1,1,2,20,15,7,4,13,21,11,7,16,12
"787",787,787,675,1,24,2,"92334","ba",1,"realschule","rented_flat"," ",3,5,4,4,5,4,3,1,5,5,4,4,5,5,5,4,5,5,4,5,4,5,4,5,5,1,0,3,5,4,3,3,4,3,2,3,3,4,3,4,3,5,4,4,3,4,2,4,5,4,2,0,0,0,0,1,"housewife_man","1500_2000","married",3,2,NA,751,170,1,1,1,1,1,1,1,1,2,1,44,30,17,12,10,13,14,13,9
"788",788,788,1067,0,68,6,"86159","ba",1,"polyt_oberschule","rented_flat"," ",3,5,5,5,3,5,4,3,4,3,5,5,5,4,1,3,3,5,4,3,2,3,5,3,3,0,1,2,4,5,1,4,3,5,3,3,3,2,3,3,2,4,5,1,3,4,3,3,4,5,5,0,0,0,0,1,"retired","2000_2500","married",1,NA,NA,1000,325,1,2,2,1,1,1,2,2,2,10,72,46,17,15,15,34,25,17,28
"789",789,789,301,1,21,2,"30419","ni",1,"realschule","rented_flat"," ",4,3,3,4,5,3,3,2,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,0,0,4,5,5,4,4,4,5,5,5,5,5,4,4,5,5,4,5,4,5,4,5,4,3,7,0,1,0,1,0,"fulltime","2500_3500","single",3,2,NA,328,80,2,1,2,2,1,2,2,2,2,28,7,9,7,11,7,7,12,7,4
"790",790,790,719,0,56,5,"14089","be",1,"realschule","own_house"," ",5,5,5,3,3,5,4,3,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,3,5,5,4,1,1,1,1,3,1,3,5,5,2,3,3,5,1,5,1,4,5,7,3,0,0,0,0,1,"fulltime","3500_5000","married",2,1,NA,1166,215,1,2,2,1,1,2,2,2,2,26,34,37,16,11,20,12,17,14,9
"791",791,791,457,1,43,4,"88074","bw",1,"university","own_house"," ",3,3,2,5,2,3,2,2,5,5,5,5,3,3,3,2,5,5,2,2,3,5,5,3,3,3,0,5,5,5,5,4,3,2,3,3,3,3,3,5,3,4,3,2,5,5,3,3,1,2,5,0,0,0,0,1,"housewife_man","below_1000","married",5,4,NA,16,100,1,1,2,2,1,2,1,1,2,16,18,19,10,5,5,12,10,4,5
"792",792,792,736,0,47,4,"44135","nw",1,"university","own_flat"," ",5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,1,0,4,5,4,5,4,4,4,5,4,5,5,4,5,5,4,4,4,5,5,4,5,4,7,6,0,1,0,0,1,"fulltime","2500_3500","partnership",2,1,NA,1423,159,1,2,2,1,1,2,2,2,1,13,13,23,10,18,9,27,7,7,8
"793",793,793,567,1,64,6,"25712","sh",1,"hauptschule","rented_house"," ",0,5,3,4,0,3,3,1,3,5,5,3,5,5,4,5,5,5,5,5,4,4,4,4,4,0,0,4,4,5,4,1,3,3,5,3,3,0,0,0,3,3,3,1,2,4,3,5,5,4,3,0,0,0,0,1,"retired","1000_1500","single",1,NA,NA,1013,151,1,1,1,1,1,1,1,1,2,23,25,15,12,11,11,11,9,22,11
"794",794,794,884,0,46,4,"24217","sh",1,"realschule","own_house"," ",4,2,3,3,4,3,4,3,4,4,5,3,4,5,4,4,4,5,5,5,4,4,5,4,5,0,0,2,4,3,3,4,3,4,3,1,3,1,3,3,2,3,3,1,2,3,3,2,3,5,3,0,1,0,0,1,"fulltime","2500_3500","married",3,2,NA,1228,143,3,3,3,3,3,3,3,3,3,28,46,14,16,5,10,9,6,9,7
"795",795,795,1202,0,59,5,"10777","be",1,"realschule","own_flat"," ",5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,3,5,1,5,1,1,5,1,5,5,5,3,4,4,4,1,5,4,5,5,7,4,0,0,0,0,1,"fulltime","3500_5000","partnership",2,1,NA,1091,358,1,1,1,1,1,1,1,1,2,11,93,28,21,43,37,17,11,23,16
"796",796,796,924,0,30,3,"34225","he",1,"hauptschule","own_house"," ",4,2,3,5,5,1,5,3,3,5,4,5,3,4,4,5,5,5,5,5,4,4,4,4,4,1,3,3,5,5,1,1,3,5,4,3,3,3,4,4,2,3,4,1,3,3,2,4,3,5,3,0,0,0,0,1,"fulltime","2500_3500","married",3,2,NA,336,265,2,2,1,2,1,2,2,1,2,6,65,27,15,13,26,12,62,14,7
"797",797,797,438,0,25,2,"25541","sh",0,"realschule","own_house"," ",4,5,5,4,3,2,2,1,5,4,5,4,4,5,5,4,4,3,3,4,4,4,5,3,4,0,0,5,4,4,3,2,1,4,4,3,2,4,4,4,3,3,4,3,5,5,4,4,4,3,3,0,0,0,0,1,"unemployed","2500_3500","single",5,1,NA,459,139,2,1,2,2,1,1,2,3,2,9,18,9,9,6,5,7,4,8,6
"798",798,798,663,1,27,2,"76744","rp",0,"university","own_flat"," ",4,5,5,5,3,5,2,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,0,0,5,4,4,2,3,2,4,4,3,3,3,3,3,2,3,3,3,3,5,2,4,5,6,3,0,1,0,0,1,"fulltime","1500_2000","partnership",2,1,NA,1579,175,1,3,1,2,3,3,3,3,2,19,58,26,19,14,11,7,8,10,11
"799",799,799,642,0,37,3,"60326","he",1,"realschule","rented_flat"," ",4,4,4,4,4,4,3,3,3,5,5,4,4,4,4,4,4,4,4,4,4,5,5,2,4,0,0,4,4,5,3,2,4,4,2,4,3,3,2,3,3,4,4,3,3,3,4,3,4,5,4,0,0,0,0,1,"fulltime","2500_3500","married",5,4,NA,460,162,1,2,1,1,1,1,2,2,3,10,38,21,19,16,13,9,9,14,16
"800",800,800,812,1,48,4,"22949","sh",1,"abitur","own_house"," ",3,0,4,5,0,4,2,1,3,5,5,3,5,5,4,5,5,5,5,5,5,5,5,4,5,0,0,4,4,5,3,3,2,1,1,0,2,4,3,0,3,3,3,4,2,4,3,4,5,3,4,0,0,0,0,1,"fulltime","3500_5000","married",2,1,NA,1188,297,1,1,2,2,1,1,1,2,1,18,60,47,51,25,10,23,21,16,13
"801",801,801,548,0,29,2,"33100","nw",1,"university","rented_flat"," ",5,4,3,5,4,5,5,4,4,5,5,5,4,3,4,5,4,5,5,4,5,4,5,5,4,3,3,4,5,5,5,3,4,3,5,4,5,4,3,5,5,5,5,4,4,4,5,5,5,5,4,1,1,1,0,0,"fulltime","2000_2500","single",2,1,NA,1499,61,2,1,2,1,2,1,2,2,1,29,7,7,5,5,5,6,4,5,7
"802",802,802,183,1,23,2,"46569","nw",1,"abitur","own_house"," ",4,5,3,4,4,4,4,3,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,0,0,4,4,3,4,4,3,4,4,3,4,3,3,4,4,5,3,4,4,3,3,4,4,7,3,0,0,0,0,1,"fulltime","2500_3500","single",1,NA,NA,1148,45,2,1,3,3,3,3,3,3,3,8,4,5,4,3,3,3,3,3,3
"803",803,803,1060,1,62,6,"84405","ba",0,"university","own_house"," ",5,5,5,5,4,5,4,3,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,0,3,5,4,5,3,4,3,0,3,4,3,3,4,4,2,4,4,4,2,5,3,4,5,6,6,1,1,0,0,1,"fulltime","2500_3500","single",2,1,NA,1624,290,1,2,1,1,1,2,2,1,1,4,71,24,11,10,13,12,10,11,13
"804",804,804,945,1,37,3,"54347","rp",1,"realschule","own_house"," ",5,5,4,4,5,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,3,3,3,3,3,2,4,5,3,3,3,3,3,4,4,4,3,2,5,3,5,5,5,1,0,0,0,0,1,"parttime","1500_2000","married",4,3,NA,1236,509,1,2,2,2,1,2,3,1,2,6,66,97,36,75,48,21,99,10,11
"805",805,805,875,0,51,5,"37115","ni",0,"polyt_oberschule","own_house"," ",5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,3,2,0,0,0,0,1,"fulltime","2500_3500","married",5,4,NA,916,243,1,1,3,2,1,1,1,3,1,16,47,22,22,51,11,9,10,23,9
"806",806,806,773,0,65,6,"93437","ba",1,"realschule","rented_flat"," ",2,5,5,4,4,5,2,2,4,5,5,4,4,5,4,4,5,5,5,5,4,5,5,5,5,3,0,5,5,5,5,2,3,3,3,4,3,3,4,4,2,3,3,2,1,5,2,4,5,6,1,0,1,0,0,1,"fulltime","2500_3500","married",2,1,NA,1062,208,1,2,2,1,1,1,2,2,2,12,33,18,29,16,14,15,14,21,11
"807",807,807,807,0,35,3,"58135","nw",1,"realschule","rented_flat"," ",5,5,5,5,4,5,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,0,0,5,4,4,4,2,1,0,2,3,2,4,5,5,3,5,5,4,1,5,5,5,5,4,5,0,0,0,0,1,"fulltime","2500_3500","married",3,2,NA,728,232,1,1,2,1,1,1,1,2,1,8,26,25,30,17,13,11,13,12,15
"808",808,808,487,0,46,4,"53879","nw",1,"polyt_oberschule","own_house"," ",3,3,4,4,4,3,2,2,3,4,5,4,4,3,3,4,4,5,4,3,3,4,4,3,3,1,0,4,3,4,3,4,3,3,4,4,3,4,3,3,3,3,2,3,3,3,2,2,4,5,7,0,0,0,0,1,"fulltime","2500_3500","married",3,1,NA,664,119,3,2,2,3,2,2,3,1,2,4,26,17,7,7,8,8,7,9,12
"809",809,809,960,1,28,2,"45326","nw",1,"abitur","rented_flat"," ",4,0,5,5,0,5,3,2,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,4,4,2,0,4,4,4,4,0,2,4,0,4,4,2,4,4,5,4,5,4,1,4,2,5,5,4,4,0,1,1,0,0,"student","2500_3500","married",2,1,NA,1403,255,1,1,1,3,1,1,1,3,2,23,72,20,27,21,27,13,13,27,15
"810",810,810,831,0,70,6,"40472","nw",1,"realschule","rented_flat"," ",5,5,5,4,4,5,5,3,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,0,3,5,5,4,5,1,2,2,1,4,1,5,5,5,3,5,5,5,2,5,3,4,5,7,5,0,1,0,0,1,"retired","2500_3500","divorced_widowed",2,1,NA,758,178,1,2,2,1,2,2,2,2,1,8,33,24,13,9,18,7,16,15,14
"811",811,811,737,0,25,2,"71549","bw",1,"fachabitur","rented_flat"," ",4,4,4,3,4,3,4,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,0,1,2,4,5,3,2,4,4,3,4,3,3,4,2,4,4,4,4,2,3,3,2,2,4,3,0,0,0,0,1,"fulltime","2000_2500","partnership",2,1,NA,590,150,2,1,2,1,1,1,1,1,2,20,44,20,15,15,10,10,5,6,6
"812",812,812,1072,1,45,4,"66663","sl",1,"hauptschule","rented_flat"," ",5,5,5,4,3,5,5,2,3,5,5,4,4,5,4,4,5,5,4,5,4,5,5,3,5,0,0,4,4,5,4,3,4,4,3,4,3,3,4,4,3,5,3,5,3,4,2,3,5,5,1,0,0,0,0,1,"retired","3500_5000","single",2,1,NA,927,310,1,2,1,1,1,1,2,2,2,27,70,25,36,20,13,17,23,15,14
"813",813,813,974,0,27,2,"94474","ba",0,"fachabitur","rented_flat"," ",5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,3,3,3,3,2,0,0,3,3,3,3,4,4,2,4,3,3,3,4,5,3,5,3,5,0,0,0,0,1,"fulltime","3500_5000","partnership",2,1,NA,1619,202,2,1,1,1,1,2,1,1,1,29,36,67,22,11,10,9,8,15,11
"814",814,814,884,1,21,2,"67059","rp",1,"abitur","rented_flat"," ",5,5,4,5,4,3,1,1,5,5,5,4,3,5,5,3,2,5,3,3,4,5,5,3,5,0,0,5,3,5,2,1,1,3,4,2,1,3,4,4,1,4,4,3,0,5,2,5,5,1,3,0,0,0,0,1,"student","1000_1500","single",1,NA,NA,811,152,2,1,1,1,1,1,1,1,2,1,38,13,12,16,9,18,14,13,7
"815",815,815,567,1,43,4,"15907","bb",0,"university","own_house"," ",3,3,2,4,4,3,3,2,4,4,5,4,4,4,3,4,5,5,5,3,3,5,5,3,4,0,0,5,3,3,5,3,3,3,3,5,3,3,4,3,4,1,1,1,3,3,3,3,5,6,5,0,0,1,0,0,"fulltime","below_1000","married",2,1,NA,1605,114,1,3,1,1,1,1,1,2,1,15,36,21,10,10,7,7,4,7,3
"816",816,816,1968,0,40,4,"89077","bw",1,"university","rented_flat"," ",5,4,4,4,5,3,5,4,4,5,5,4,5,5,4,4,5,5,4,5,3,5,5,3,5,3,2,5,5,4,4,2,2,2,2,1,2,5,5,5,2,5,5,4,5,2,5,4,4,5,4,0,1,1,1,0,"unemployed","2500_3500","married",5,4,NA,1541,253,2,1,2,1,1,1,1,1,1,11,61,32,26,29,14,11,11,11,12
"817",817,817,325,1,24,2,"88521","bw",1,"hauptschule","rented_flat"," ",4,3,3,3,4,4,3,3,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,3,4,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,4,4,5,4,0,1,1,1,0,"fulltime","3500_5000","partnership",2,1,NA,768,99,2,1,2,2,1,2,1,2,1,18,12,13,8,12,10,12,8,7,6
"818",818,818,363,0,25,2,"56068","rp",1,"realschule","rented_flat"," ",4,5,4,4,4,4,4,3,3,3,5,4,4,4,2,2,3,4,4,4,2,3,4,4,5,0,1,4,3,3,5,3,3,4,2,3,2,2,2,4,3,4,3,2,3,2,1,3,1,3,3,0,0,0,0,1,"fulltime","2500_3500","partnership",2,1,NA,736,98,2,2,2,2,1,1,1,1,1,16,20,8,10,11,7,6,10,8,12
"819",819,819,436,1,35,3,"60311","he",1,"abitur","rented_flat"," ",3,3,3,3,3,3,2,1,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,0,0,0,0,1,"fulltime","5000_above","partnership",2,1,NA,525,99,1,1,1,1,1,1,1,1,1,15,29,14,7,8,7,5,4,6,4
"820",820,820,373,0,69,6,"23946","mv",1,"university","rented_flat"," ",3,4,3,4,4,3,2,2,3,4,5,4,4,4,4,4,5,5,4,4,4,5,5,4,4,0,0,3,3,3,2,4,3,4,3,2,4,3,3,3,3,3,4,4,4,3,5,3,3,2,2,0,0,0,0,1,"retired","1500_2000","married",2,1,NA,1257,64,2,2,1,3,3,2,1,2,3,27,8,7,6,4,5,4,4,6,4
"821",821,821,616,1,40,4,"86415","ba",1,"realschule","own_house"," ",4,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,0,4,4,4,4,1,4,4,2,4,1,4,4,4,4,4,4,4,3,4,4,4,5,4,3,0,0,0,0,1,"parttime","2500_3500","married",4,3,NA,799,184,2,1,2,1,2,2,2,2,2,19,34,17,17,34,6,9,20,12,8
"822",822,822,592,1,44,4,"12683","be",1,"realschule","rented_house"," ",4,5,5,2,4,4,3,3,3,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,5,0,0,3,3,3,3,2,4,4,3,3,3,3,4,4,4,4,4,3,3,5,4,3,4,5,5,0,1,0,0,1,"parttime","2500_3500","single",1,NA,NA,1030,157,2,1,1,2,1,2,2,1,2,10,34,26,17,14,18,8,11,10,8
"823",823,823,669,0,66,6,"19348","bb",0,"polyt_oberschule","rented_flat"," ",3,3,5,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,0,1,0,1,0,"retired","2000_2500","married",2,1,NA,1145,261,1,2,2,2,1,1,2,1,2,5,53,31,20,15,29,19,16,25,19
"824",824,824,769,1,28,2,"56283","rp",0,"university","own_house"," ",4,4,4,3,4,3,4,3,3,2,2,3,2,2,2,5,4,5,4,5,5,4,5,4,5,0,0,4,4,4,3,2,2,2,2,3,2,3,4,4,2,4,4,4,2,4,4,4,4,3,5,0,1,1,0,0,"fulltime","5000_above","partnership",2,1,NA,1596,287,1,2,1,2,1,2,2,1,2,6,123,54,19,13,14,13,15,17,22
"825",825,825,652,0,38,3,"06785","st",1,"abitur","own_house"," ",5,5,5,5,5,3,4,4,3,4,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,3,0,5,5,3,4,5,1,3,5,4,2,4,5,5,1,5,5,5,3,5,4,5,5,6,4,1,1,0,0,1,"fulltime","3500_5000","married",4,3,NA,741,96,1,2,1,2,2,1,1,1,2,21,27,10,6,3,4,7,10,11,7
"826",826,826,812,0,32,3,"95508","ba",1,"hauptschule","own_house"," ",3,5,4,5,4,3,2,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,5,4,3,3,2,4,4,4,3,3,3,4,2,4,4,3,4,4,3,3,4,4,5,4,0,0,0,0,1,"housewife_man","1000_1500","married",4,3,NA,726,156,2,2,1,2,1,2,2,1,2,6,25,15,21,12,10,15,17,9,20
"827",827,827,1077,0,55,5,"99885","th",0,"realschule","own_house"," ",1,5,4,5,3,3,3,3,3,4,5,5,4,3,3,3,4,5,4,3,2,5,5,4,3,0,0,5,2,3,4,3,3,3,4,3,4,2,4,3,2,4,3,3,2,4,5,1,2,2,4,0,0,0,0,1,"fulltime","2000_2500","married",3,1,NA,921,306,2,1,1,1,1,2,2,2,2,21,74,24,35,19,15,42,25,29,22
"828",828,828,1056,0,31,3,"51597","nw",0,"realschule","own_house"," ",3,5,4,5,4,3,3,2,2,5,5,2,2,5,3,4,5,5,3,5,3,5,5,3,5,0,0,5,5,5,5,3,2,4,1,2,4,2,5,4,2,1,2,5,3,3,2,2,3,3,2,0,0,0,1,0,"fulltime","3500_5000","married",4,3,NA,1180,250,2,1,1,2,1,2,2,1,2,10,21,44,22,21,15,15,13,24,12
"829",829,829,510,0,51,5,"53842","nw",1,"fachabitur","rented_house"," ",5,5,5,5,5,5,4,2,5,5,4,5,4,4,4,5,5,5,5,5,5,5,4,5,4,0,1,5,5,4,4,5,5,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,7,3,0,0,0,0,1,"fulltime","3500_5000","married",3,2,NA,524,110,1,1,2,2,1,2,2,2,2,14,26,16,8,7,8,11,7,7,5
"830",830,830,623,1,37,3,"66663","sl",1,"realschule","own_house"," ",5,2,5,5,4,5,3,2,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,0,0,4,5,5,4,0,3,0,4,4,4,4,4,3,0,4,4,0,5,5,0,5,5,5,3,0,0,0,0,1,"parttime","5000_above","married",4,3,NA,532,180,1,2,2,2,1,1,2,1,1,22,32,22,19,18,13,14,18,15,12
"831",831,831,824,0,69,6,"53359","nw",1,"university","own_house"," ",4,2,5,4,0,0,2,2,3,5,5,4,5,5,4,5,5,5,4,5,4,5,4,2,5,1,0,5,4,5,3,2,2,4,1,2,0,0,4,5,1,4,5,2,3,5,3,3,4,3,5,0,0,0,0,1,"retired","2500_3500","married",2,1,NA,1437,273,2,2,1,1,1,1,2,2,1,27,45,23,32,18,22,24,24,20,37
"832",832,832,1257,1,49,4,"80809","ba",1,"fachabitur","own_flat"," ",5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,0,0,1,"fulltime","2000_2500","married",2,1,NA,169,75,1,1,1,2,1,1,2,1,2,19,12,4,11,4,5,7,4,7,5
"833",833,833,265,0,38,3,"12105","be",1,"realschule","rented_flat"," ",5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,4,4,5,3,3,5,3,4,5,3,5,3,4,5,3,3,5,3,7,7,0,1,1,1,0,"fulltime","2500_3500","married",4,3,NA,885,44,1,2,3,3,3,3,3,3,3,15,6,5,5,4,3,4,3,4,3
"834",834,834,1677,1,57,5,"12355","be",1,"realschule","own_flat"," ",4,5,3,3,3,2,2,1,3,5,5,3,5,3,3,3,5,5,3,3,3,5,5,3,3,0,3,4,3,3,3,4,3,4,5,1,5,4,3,3,3,3,3,2,1,3,4,4,5,6,1,0,0,0,0,1,"housewife_man","3500_5000","partnership",2,1,NA,158,207,1,1,1,1,1,1,2,2,1,8,84,12,18,8,9,6,9,28,15
"835",835,835,2227,1,54,5,"49393","ni",1,"polyt_oberschule","rented_house"," ",3,5,5,4,2,3,3,3,1,5,5,3,5,5,4,4,5,5,5,5,4,4,5,5,5,0,3,5,1,5,3,3,3,4,5,3,1,2,4,5,3,4,3,1,2,5,1,1,5,7,4,0,0,0,0,1,"fulltime","3500_5000","married",3,1,NA,1009,522,1,1,1,2,1,1,2,1,2,19,108,44,65,41,40,55,35,49,27
"836",836,836,578,0,28,2,"34117","he",1,"hauptschule","rented_flat"," ",3,3,3,3,3,3,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,0,3,0,0,0,3,0,0,0,0,0,0,3,3,3,0,3,0,4,4,0,0,0,0,1,"fulltime","1000_1500","married",4,3,NA,544,235,3,3,3,3,3,3,3,2,2,4,41,153,3,3,2,4,4,8,2
"837",837,837,781,0,59,5,"36289","he",1,"realschule","own_house"," ",3,2,5,5,2,2,5,3,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,3,5,5,5,5,1,3,3,3,4,2,2,5,3,1,5,3,3,3,5,2,5,3,4,3,0,0,0,1,0,"fulltime","1500_2000","divorced_widowed",1,NA,NA,1149,167,2,2,1,2,1,1,2,1,2,9,31,27,17,15,17,9,12,14,8
"838",838,838,1133,0,68,6,"06132","st",1,"polyt_oberschule","own_house"," ",4,3,4,4,0,3,2,3,3,4,5,5,5,5,4,5,5,5,5,5,3,1,2,5,4,0,0,5,3,4,4,3,1,3,1,5,2,5,4,5,1,4,5,3,3,5,3,4,5,4,5,0,1,0,0,1,"parttime","2500_3500","married",2,1,NA,361,284,2,1,1,2,1,1,2,2,2,1,55,32,24,25,38,17,14,33,23
"839",839,839,805,0,52,5,"32049","nw",1,"hauptschule","rented_flat"," ",4,5,5,5,3,4,3,3,3,4,5,3,4,5,4,4,4,5,4,5,4,5,5,5,5,1,0,5,5,4,4,2,1,5,4,4,3,4,4,5,3,5,5,4,2,5,2,5,5,4,4,1,1,0,0,1,"fulltime","1500_2000","partnership",3,1,NA,1008,268,1,1,2,2,1,1,1,2,1,18,37,29,19,23,30,17,13,27,17
"840",840,840,2536,0,58,5,"47447","nw",1,"hauptschule","rented_flat"," ",5,5,5,5,1,0,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,4,3,4,5,0,1,3,5,0,1,0,5,3,3,1,1,0,5,0,5,3,5,7,4,0,0,0,0,1,"fulltime","2000_2500","single",1,NA,NA,694,831,1,1,1,1,1,2,2,1,1,4,115,22,17,12,36,415,20,120,12
"841",841,841,785,0,40,4,"73630","bw",1,"realschule","own_flat"," ",5,4,5,5,4,5,2,2,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5,3,2,0,0,3,4,5,5,3,2,4,3,3,3,3,4,5,3,4,5,3,4,5,2,4,5,5,5,0,0,0,0,1,"unemployed","2500_3500","married",3,2,NA,972,118,2,2,1,2,2,2,1,1,1,12,48,12,12,6,6,5,6,8,4
"842",842,842,555,0,40,4,"55299","rp",1,"university","rented_flat"," ",1,5,4,2,4,3,3,2,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,3,0,0,5,4,4,4,3,5,3,3,4,3,3,4,4,3,4,3,2,4,4,3,2,3,5,6,0,0,0,0,1,"fulltime","2500_3500","married",2,1,NA,1524,168,1,1,2,1,1,3,2,3,1,24,22,8,5,5,11,16,7,16,12
"843",843,843,1056,0,34,3,"63450","he",1,"university","own_flat"," ",4,0,5,0,4,5,2,2,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,0,0,5,5,5,3,0,0,0,2,3,4,4,2,4,4,2,4,2,4,4,2,3,5,4,2,0,0,0,0,1,"fulltime","1500_2000","single",1,NA,NA,264,287,1,1,3,1,1,2,2,3,1,24,58,38,27,16,33,26,23,15,18
"844",844,844,403,1,41,4,"50829","nw",1,"university","own_house"," ",4,4,5,5,3,3,3,2,3,4,5,5,3,3,4,3,4,5,3,3,3,5,5,3,3,0,0,5,4,5,3,1,2,1,1,2,1,4,4,3,1,3,3,4,1,4,5,4,5,7,2,1,1,1,1,0,"fulltime","5000_above","partnership",2,1,NA,1196,120,2,2,3,2,3,3,3,2,3,26,33,12,12,9,8,8,13,7,8
"845",845,845,941,0,54,5,"70806","bw",1,"realschule","own_flat"," ",4,5,5,4,4,4,3,2,3,4,5,2,4,4,4,5,5,5,5,5,5,5,5,5,5,0,0,5,4,4,4,3,2,2,3,3,4,3,4,4,3,4,4,3,1,5,2,5,5,4,2,0,0,0,0,1,"retired","2000_2500","married",2,1,NA,461,174,1,1,1,2,1,2,2,1,1,11,42,17,9,9,12,13,11,12,7
"846",846,846,997,1,53,5,"41564","nw",1,"abitur","rented_flat"," ",4,4,5,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,0,0,4,5,4,4,2,2,3,3,3,0,3,3,4,3,3,3,3,1,4,3,4,5,4,4,0,0,0,0,1,"fulltime","1500_2000","single",1,NA,NA,1505,182,2,2,2,2,1,1,2,2,1,5,35,10,12,7,16,10,12,12,12
"847",847,847,433,1,28,2,"80809","ba",1,"realschule","rented_flat"," ",5,5,4,4,4,5,4,2,4,5,5,4,4,5,4,5,5,5,5,5,5,4,4,5,5,3,2,5,4,5,4,4,4,4,5,4,5,4,4,5,4,3,5,5,5,5,4,4,5,4,6,1,1,1,0,0,"fulltime","2000_2500","married",3,2,NA,583,81,2,1,3,1,1,1,1,1,1,13,17,4,13,7,8,5,4,5,6
